	Document	errors	word count	existing word count	error rate	grade	ratio_of_nouns	ratio_of_verbs	ratio_of_prep	ratio_of_conj	ratio_of_adv
200	AR-130-98135	54	230	200	0.2347826086956521	B2	0.3620689655172414	0.08189655172413793	0.1336206896551724	0.10344827586206896	0.0
201	AR-130-98148	9	113	100	0.079646017699115	B2	0.415929203539823	0.07079646017699115	0.18584070796460178	0.07964601769911504	0.0
202	AR-130-98231	16	153	150	0.1045751633986928	B2	0.48366013071895425	0.06535947712418301	0.13071895424836602	0.13725490196078433	0.0
203	AR-130-98572	28	170	150	0.1647058823529411	B2	0.3941176470588235	0.09411764705882353	0.16470588235294117	0.08823529411764706	0.0058823529411764705
204	AR-130-98675	26	216	200	0.1203703703703703	B2	0.46296296296296297	0.09722222222222222	0.125	0.0787037037037037	0.0
205	AR-130-98795	22	296	250	0.0743243243243243	B2	0.4391891891891892	0.12162162162162163	0.19594594594594594	0.11824324324324324	0.010135135135135136
206	AR-130-98853	65	220	200	0.2954545454545454	B2	0.38738738738738737	0.13963963963963963	0.13963963963963963	0.11261261261261261	0.0
207	AR-130-99025	36	143	100	0.2517482517482518	B2	0.4861111111111111	0.10416666666666667	0.18055555555555555	0.13194444444444445	0.013888888888888888
208	AR-130-99201	17	85	50	0.2	B1	0.3023255813953488	0.08139534883720931	0.19767441860465115	0.08139534883720931	0.023255813953488372
209	AR-130-99351	35	159	150	0.220125786163522	B2	0.4025157232704403	0.11320754716981132	0.18867924528301888	0.11320754716981132	0.006289308176100629
210	AR-130-99438	12	236	200	0.0508474576271186	B2	0.4279661016949153	0.07627118644067797	0.19491525423728814	0.08050847457627118	0.00423728813559322
211	AR-130-99442	44	182	150	0.2417582417582417	B2	0.44808743169398907	0.09289617486338798	0.14207650273224043	0.06557377049180328	0.00546448087431694
212	AR-130-99590	14	102	100	0.1372549019607843	B1	0.4368932038834951	0.11650485436893204	0.1553398058252427	0.07766990291262135	0.0
213	AR-130-99787	25	120	100	0.2083333333333333	B1	0.4	0.125	0.16666666666666666	0.06666666666666667	0.008333333333333333
