Document	Raw	grade
AR-130-191809	هناك أسباب كثيره يمكن ان تأثر على الفرد والمجتمع، ومن هذه الأسباب وسائل التواصل الاجتماعي ، في هذه الايام التكنلوجيا قضت على كل شي من خلال الهواتف ، يمكن على الفرد ان ينهي حاجاته من الهاتف من خلال البرامج التعليميه والترفيهيه وخاصتا الاطفال والشباب فهذا مضر لصحتهم النفسيه والجسديه فكثرت قضاء وقتهم على الهاتف يسبب لهم ضعف فالنظر ،أيضاً هناك مشكله جدا كبيره ، وهي كيفيه أستخدام وسائل التواصل الاجتماعي الكثير منهم يستخدمون وسائل تواصل الاجتماعي بطريقه خاطئه ممكن أن تضرالفرد ، وهناك الكثير من الحلول ومنها يجب على جميع المدارس توعية الطلاب وكيفية استخدامهم وسائل التواصل الاجتماعي بشكلاً صحيح لكي لا يتضررون من استخدامه بشكل خاطئ ، وهذه طريقه صحيحه لتوعيتهم منذ الصغر ، وأيضاً يجب توعية الفرد وعمل الحد الازم لهم ، وأيضاً هناك الكثير من الإيجابيات، ولكن الاهم ان لا يتعرضون للمخاطر من استخدامه بشكل خاطئ.	B1
AR-130-191850	في هذا العصر الجديد ،لقد ظهرت الكثير من تطبيقات جديده التي قد توثر على الفرد والمجتمع .هناك اشخاص يعانون الكثير من الوسائل التواصل الاجتماعي لكي هناك اشخاص يستخدمون بشكل سيء.هناك الكثير من الاطفال عانوا من المشاكل الصحيه والنفسيه .واجهوا السب الوقذف من اشخاص سيئين.كذلك قررت دوله الامارات ان تحرص وتراقب هولاء الاشخاص الذين يستخدمون وسائل التواصل الاجتماعي بشكل سيئ جدآ.وسائل تواصل الاجتماعي قد تؤثر على المجتمع ايضا،نشر الصور ونشر الاشاعات والتهديد بين الاشخاص وتؤثر على الكثير من المجالات بين الدول و الشعوب .كذلك وسائل التواصل تؤثر على الفرد على صحته و شخصيته وكذلك مشاكل نفسيه الذين واجهوا من الناس السيئين من السب والقذف. هناك الكثير من الاطفال لديهم هواتف ذكيه ولديهم برامج يتحادثون بها بين الاصدقاء والتعارف.في هذا الجيل الجديد او القادم سوف تزيد الاثار والمشاكل بين الفرد والمجتمع .يجب امن الاولياء الامور ان اخذ الحيطه والحذر و مراقبة ابنائهم كيفيه استخدام وسائل تواصل الاجتماعي بشكل جيد .	B1
AR-130-192155	اصحبت اليوم لدينا اتصال بالعالم كبير وهذا بسبب تطوير التكنلوجيا في الوقت الحالي..وايضا من ابرز الوساذل هي وسائل التواصل الاجتماعي التي هي جزء كبير من حياة العالم وهي تربط جميع دول العالم واصبح الاتصال بين العالم من الامور السهله . ولكن لديها تآثير كبير على حياة الفرد والمجتمع لانه تغشل الانسان عن امور اساسية في حياته الشخصية والعمليه .اصبح التواصل الاجتماعي منبع لتآثير على جميع البشر واصبحت الحوادث اكثر عندما يتابع احدى الاطفال الصغار لا يتعدى عشر سنوات شخص يتحدث عن الانتحار واصبح الانتحار منتشر بسكل كبير بسبب التواصل الاجتماعي وهذه اكبر المخاطر على الاطفال والكبار .	B1
AR-130-192218	ان وسائل التواصل الاجتماعي لها تأثير اجابي وسلبي على الفرد وهذا يعتمد على طريقة استخدام الفرد لها ، ولاكنها بشكل عام وسائل التواصل الاجتماعي يؤثر بشكل سلبي على الفرد ، على سبيل المثال الافراط في استخدامه يسبب العزله والضعف في النظر والكثير من المشاكل الصحيه .هناك الكثير من العائلات تشتكي من اطفالها الذين يقضون معضم وقتهم على التواصل الجتماعي وينسون الجلوس مع افراد العائله وتبادل الحديث. وبعض الفراد يتأثر من المقاطع التي تُرسل على التواصل الاجتماعي ولا يفكر ما اذا كانت هذه المقاطع اخلاقيه اوتناسب العادات والتقاليد سيقوم بالتقليد على الفور. للتغلب على هذه المشكلات يجب على الفر التقليل من استخدام وسائل التواصل الاجتماعي والجلوس مع افراد العائله مده اطول ويحاول ان يتخطى المقاطع الغير اخلاقيه والتي لا تناسب العادات والتقاليد وعدم التأثر فيها.	B1
AR-130-192387	"وسائل التواصل الاجتماعي و تأثيرها على الفرد و المجتمع. في عصرنا الحالي، تعددت وسائل التواصل الاجتماعي بكثرةٍ، اصبح التواصل سهلٌ وسريع، من خلال كبسة بسيطة ستتحدث لشخصٍ في النصف الأخر من كرة الأرض فاصبح الناس يتواصلون من خلالها بكثرة وعدم اللجوء للعادة القديمة كالزيارة وكتابة البرقية والرسائل الورقية. سهلت وسائل التواصل الإجتماعي الزيارات وأخذ السؤال عن الحال و الأحوال من الأقارب و الأصدقاء، يمكنهم من خلال وهم في منازلهم ""التويتر""و""الواتساب"" وغيره"	B1
AR-130-192490	في وقتنا الحالي تعد وسائل التواصل الاجتماعي من اهم الوسائل في جميع انحاء العالم ، حيث ان جميع الدول لابد لها من التواصل عبرها وايضا جميع من في المجتمع يتواصلون بها ان لها جوانب ايجابية كثيرة ولكن جوانبها السلبية اكثر فتأثيرها الايجابي هو حفظ الوقت وتوفيره والتواصل بين افراد المجتمع بسهولة الدراسة منها او استخدامها للتجارة والاعمال عبرها ولكن اذا ما اتينا الى الجوانب السلبية وتأثيراتها السيئة فهي من الوسائل التي تضر بصحتنا وصحة اعيننا اذا مكثنا عليها وقتاً طويلاً وايضا هناك تنمر او مشاكل اخري واختطافات وامور جدية تحدث من هذه المواقع حيث ان هناك اعماراً صغيرة او من هم قليلوا الوعي يستخدمونها بطرق خاطئة ومضرة وهناك الكثير من المشاكل الاسرية وتفكك العلاقات وغيرها الكثير ولكن لجميع الاشياء جوانب ايجابية وجوانب سلبية فعلى الناس توعية البعض ومعرفة كيفية استخدامها بشكل صحيح لكي يكون تأثيرها على المجتمع وافرادة تأثير ايجابي اكثر من ان يكون سلبي ولكي لايضرهم ويكون شيئ ذو فائدة لهم.	B2
AR-130-192528	وسائل التواصل الاجتماعي تاثر تآثيرا قوياً على الفرد والمجتمع وبالأخص على الاطفال. في الوقت الحالي الجميع اصبح على وسائل التواصل الاجتماعي. من اهم اضرارها، ان لا يجلسون مع الاهل جميع الوقت على الهاتف ووسائل التواصل الاجتماعي وهذا مضر للصحه وايضاً يشتت عقل الاطفال لانه البعض ينشرون صور عنف او قصص مرعبه وهذا خطر جداً. وايضاً الجميع اصبح يظهر اشائعات عبر وسائل التواصل الاجتماعي لكي يصبح مشهوراً ومن الممكن يسبب امراض من كثر استخدامها مثل مرض الصرع او التوحد وايضاً ممكن يسبب فتنه بين المجتمع وهذا من اضرار وسائل التواصل الاجتماعي. ويوجد فوائد لوسائل التواصل الاجتماعي، تساعد التواصل الاجتماعي على سهوله التسويق عبر المواقع بدلا من الذهاب الى السوق وايضاً يوجد مهارات مثلا اللغه الانجليزيه تساعدنا على تقويه لغتنا في الاجليزي وهذا شي مفيد. وفي النهايه وسائل التواصل الاجتماعي يوجد لها اضرار كثيره وبعض الفوائد.	B1
AR-130-192582	وسائل التواصل الاجتماعي،اسهل و اسرع وسيله للتواصل للاصدقاء و الاهل. ويمكن نشر فيها الصور و الفيديوات،ولكن لها تأثيرات على المجتمع و الانسان عندها يستخدمه بطريقه خاطئه في نشر الصوره الخاطئه و استعمال الوسائل بطريقه مؤذيه للاخرين وايضا استعاملها بكثره و لساعات طويله.	B1
AR-130-192654	نشهد هذه الايام تطور كبيرا في جيمع المجتمعات والدول منها السلبية والايجابية على الفرد والمجتمع كوساىل التواصل الاجتماعي. لوساىل التواصل الاجتماعي آثر كبير علي الفرد فاليوم آصبح الفرد يتكاسل عن أداء المهمات كما قد يصاب الفرد بأضرار جسدية قد تستمر معه مدى الحياة مثل آلام الظهر و ضعف النظر وانحناء الرقبة ولاكن لايدرك المرء تلك الاضرار الا وقت حدوثها.آما بالنسبة للمجتمع فقد أصبح الناس أقل تواصلا بالنشبة للتجمعات فأصبحوا يروون أنه من الافضل التحدث عبر الهاتف ولا يقضون الوقت في الجلوس مع عاىلتهم وهذا قد يؤثر سلبا على المجتمع.أما بالنسبة لفوائد وسائل التواصل الاجتماعي أنها تسهل على الفرد الحرية بالتعبير عن نفسه وكل مايجول بخاطره وبالنسبة للمجتمع أن الوسائل قد طورت العلاقات بين المجتمعات المختلفة فأصبح الناس يكونون علاقات الصداقة وغيرها مع الاشخاص من الدور الاخري مما يؤدي لتقوية الروابط الاجتماعية.	B2
AR-130-192696	ان وسائل التواصل الاجتماعي لها دور كبير ومهم في حياتنا اليوميه إما ان يكون فعال او هدام ويعود ذالك لكيفية استخدام الشخص لهذه المواقع، ويمكننا ان نسخدم مواقع التواصل الاجتماعي في تبادل الخبرات الحيايته و تفقد احاول الاقرباء البعيدين والتعرف على اصدقاء كثيرين ويمكننا ان نكتسب الكثير من الخبرات والثقافات العامه بينما لها مخاطر واضرار كثيره بينما قد تجعل الاشخاص منعزلين عن بعضهم البعض والاندماج في عالم اخر وقد ينشغل الشخص عن تأدية بعض الاعمال و الواجبات المنزليه وقد تكون هناك فرصه قويه لنشر الاشاعات وتصديقها وسهوله نشرها ويجب ان يكون هناك رقابه ذاتيه ومعرفة الخطأ وتداركه ويجب ان يكون هناك وعي يمكن تقديم دورات توعويه في المدرسه و لدى الابوين ويجب ان يكونون حريصين على مراقبه ابنائهم وان وسائل التواصل الاجتماعي لها دور كبير في حياتنا و الجميع يحتاج بأن يتواصل مع الاخرين وتوسعة خبراته في الحياه و الاطلاع الى الاحداث الجديده في الحياه ويجب ان اتتبع سبل توخي خطرها ويجب ان نكون اكثر رشدا في استخدامها	B1
AR-130-192707	انتشرت في الآونه الاخيرة وسائل التواصل الاجتماعي ولعبت دورأ مهما في عصرنا هذا، البعض يستخدمها لغرض البحث عن معلومة والبعض يستخدمها بشكل خاطئ ولكن يجب ان يكون هناك وعي عند استخدام هاذي الوسائل وفي هذا المقال .سوف نتحدث عن ايجايبيات سلبيات وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع من اجابيات وسائل التواصل الاجتماعي عندما تريد البحث عن معلومة من سهل الحصول عليها بمجرد البحث عنها لانها تسهل لك المهمه وتسرعها وهذا يجعل المجتمع اكثر ثقافه بما يدور حوالينهم من معلومات وايضا من اهمية هاذي الوسائل تجعل الاشخاص اكثر تواصلا مع بعضهم البعض وهذا يزيد العلاقات الاجتماعية بين الناس ويجعلهم اكثر تقربا من بعض لان نحن في زمن يصعب الوصول للاشخاص بسبب انشغالتهم في الحياه عكس ما كانوا عليه الاجيال الماضية ومن سلبيات هاذي الوسائل ان بعض يستخدمها بشكل خاطئ ويفرط باستخدامها وهذا يأثر على صحته وايضا على وقته وتحصيله الدراسي وايضا يقوم بعض المستخدمين بانتهاك شخصية الاخريين وهذا يؤثر على المجتمع	B2
AR-130-192747	تعتبر وسائل التواصل الاجتماعي هي تسهيل من عملية التواصل بين الاصدقاء و العائله ، وكذلك تسهل على الشخص تعلم معلومات جديدة في التواصل الاجتماعي و هناك الكثير من المواقع التـى يمكن للشخص التواصل ، وايضا تأثيرات تلك المواقع لا تنحصر على الايجابيات فقط أو السلبيات فحسب، هناك الكثير من التنمر في مواقع التواصل و هذا ايضا يؤدي الى العنصريه بين المجتمع. إن احتكاك الفرد بعالم التواصل الاجتماعي يؤدي الى اختراق شخصية افراضية غير شخصيته وذلك من اجل التلاعب، رغم اهمية التواصل الاجتماعي مهم للمجتمع ولكن هناك الكثير من الاراء حول انعكاسات استخدامها احيانا ، فهناك البعض من يراها نعمة و البعض الاخر يراها نقمة نظرا نعكاساتها السلبية والني يجب التعامل معها بجدية يمكن ان يتأثر الاطفال بشكل كبير في مواقع التواصل الاجتماعي، وذلك لأن بعض الناس يشاركون الصور التي قد تحتوي على العنف او المشاهد غير مناسبة، مما يلحق الضرر بسلوك الاطفال و المراهقين و ايضا المجتمع لذلك يجب الاسرة ن تتعامل مع اطفالهم	B1
AR-130-192751	وسائل التواصل الاجتماعي منتشرة كثيراً في هذا العصر الواكب الحديث، تعدد استخداماتها وتعتبر سلاح ذو حدين ولها تأثير ايجابي و سلبي على الفرد والمجتمع. التأثير الايجابي على الفرد يمكن التواصل الشخصي للتواصل مع افراد العائلة والاصدقاء ،و مشاركة الافكار و ايضاً في التجارة ، اما التأثير الايجابي للمجتمع هو معرفة مايدور حول العالم و رغبات افراد المجتمع . التأثير السلبي للفرد هو الادمان و الابتزاز و ضياع الوقت وعدم القدرة على السيطرة والتحكم في استخدام التواصل الاجتماعي التأثير السلبي للمجتمع هو انتشار الشائعات و الاسرار. لابد من من مراقبة انفسنا في استخدام وسائل التواصل الاجتماعي واخيار الطرق الصحيحة لكي لانقع في سلبياته.	B1
AR-130-192885	هناك الكثير من وسائل التواصل الأجتماعي التي تأثر تأثيراً سلبياً وإيجابيا ًعلى الفرد وعلى المجتمع.أصبح تداول الرسائل في وسائل التواصل الأجتماعي أمراً سهلاً هذة الأيام. مما آدى الى الخصام والنزاع عبر وسائل التواصل الأجتماعي بشكل يومي. أثرت وسائل التواصل الأجتماعي على المجتمع كثيرا آدى الى خصام وتفكك بعض الاسر و تشتت الأطفال.أصبح لدى كل شخص حساب على هذة الوسائل وهذا السبب ادى الى زيادة عدد الخلافات والخصام عبرهذة الوسائل.أثرت وسائل التواصل الأجتماعي تأثيراً سلبياً على المجتمع الغربي والعربي منها تعاطى المخدرات وغيرها .أثرت تأثيراً إيجابياً على فئة من المجتمع. آمل أن يكون هناك قانون أن يعاقب كل شخص يسئ بأي شكل لأي شخص بدون أي شكوى لأي مسؤل.وبذالك سوف تقل أثار وسائل التواصل الأجتماعي. في هذة الأيام كثرت هذة المشاكل في دولة الإمارات العربية المتحدة.	B1
AR-130-192922	للتسامح أهمية كبيره في المجتمع فهو العفو وتجاهل اخطاء الاخرين لكسب محبتهم من اجل الحد عن العنف والنزاعات، يحتاج المجتمع بأن يدرك ما مدى اهمية مسامحة الاخرين فيجب ان نعزز هذه الثقافة في المجتمع لكي ينتشر الاحترام، ومن بعض الاهميات : ابعاد الحقد والكراهيه بين البشر وتوافر الامن والامان وتقوية العلاقات بين الافراد. هناك تأثير كبير لواسائل التواصل الاجتماعي وخصوصا على الاطفال لانه يسبب ادمان غير ارادي وتضيعة وقت لمستخدمي الهواتف لفتره طويله فأن من الممكن ان يتأثر الفرد بما ينظر إليه في وسائل التواصل الاجتماعي وينتج هذا عن تغير في سلوك الشخص ومعاملته لاصدقائه او اهله كما ان هناك ايضا ايجابيات	B1
AR-130-192949	تعد برامج التواصل الاجتماعي من البرامج الاكثر اهميه في وقتنا الحاضر لجميع الفئات العمرية مما ينتج عن ذلك عدة نتائج ايجابيه و سلبيه على الفرد و المجتمع من اكثر البرامج الاجتماعية شهرة في هذا الوقت و الذي يتم عبره تداول جميع انواع الاخبار عن شتى مجالات الحياه هو برنامج او تطبيق ( سناب جات) وهو عباره عن برنامج متاح لجميع الفئات العمرية ويتم من خلاله التواصل مع اي شخص يستخدم هذا التطبيق و مشاركة الصور و الفيديوهات القصيرة مع بعضهم البعض كما يمكنك متابعة اي شخص سواء كانمن المشاهير او الممثلين ومن اثاره الايجابيه هي ان تكون قادراٌ علىمعرفة جميع الاخبار وبكل سهولة وفي اي وقت و الآثار السلبية تنطبق على كيفية استخدام الشخص للبرامج كمتابعة الاشخاص اللذين ينشرون اخبار كاذبهاو سيئو التعامل	B1
AR-130-193363	اصبح التواصل الاجتماعي شي يعيش معنا و يوجد الكثير من الناس الذين لايستطسعون قضا القليل من الوقت بد،ن التفقد عل، التواصل الاجتماعي. لكل شي في الحياه سلبياته و ايجابياته و التواصل الاحتماعي احد هذه الاشيا لذلك سندكر القليل من الايجابيات و القليل من السلبيات .اولا، من ايجابيات النواصل الاجتماعي هي ان يمكن ان ترا احوال الناس و الاقربا و الاصذقا عن طريق التواصل الاجتماعي و تستطيع ايضا ان تتحدث مع اشخاصك ولو كان يبعد بينكم الكثير من المسافات.الت،اصل الاحتماعي يجمعكم في لحظه و دقيقه.و من سلبياته هو انه يبعدك عن اهلك و يسبب لك الادمان و عدم القدره علا التحمل بآن لاتتفقد التواصل الاجنماعي و يسبب في جعلك شخص عصبي جدا.	B1
AR-130-193451	التسامح التسامح سمه و ثقافة موجوه في جميع مجالات الحياه،التسامح هي سمه و ثقافة عظيمه تاتي التسامح في عدة اشكال مثال على ذلك(التسامح في العقائد )و (التسامح مع الذات)و (التسامح و تقبل الاختلاف)إلى اخ.. مع اختلاف الزمن و تنوع الديانات يجب ان نعزز التسامح في العقائد و تقبل الاختلاف لإن ثقافة التسامح هي العنصر الاساسي لجعل الشعوب تتعايش في سلام، ثقافة التسامح مع الذات هي عدم توبيخ التنفس او تعقيد الامر على الذات و تحمل مالا تستطيع، و لتعزيز التسامح مع الذات هو جعل الشخص يتعاون في مساعدة الناس له و عم تحمل المسؤوليه مالا يستطيع و اجهاد النفس .تثقافة التسامح و تقبل الاختلاف هي كأختلاف الجنس و اختلاف العقيده و اختلاف الثقافه و اختلاف العرق	B1
AR-130-193838	وسائل التواصل الاجتماعي و تأثيرها على الفرد و المجتمع وسائل التواصل الاجتماعي هي وسيلة للتواصل بين الافراد و المجتمع ، لها اثرًا ايجابياً و سلبياً ، الايجابية مثل : التواصل بين الآقارب و الأصدقاء ، و استكشاف البحوث العلمية وغيرها . و السلبية يوجد لها أثراً قويًا منها : الجلوس لمدة طويلة وعدم الجلوس مع الآقارب فهي تضيع الوقت وعدم آداه بعض من الواجبات المفروضه عليه . فعلى كل فرد عليه أن يضع بين وسائل التواصل الاجتماعي وقتاً كافياً لآداه واجباته . و استغلال الوقت الآخر بشيء مفيد له مثل : القراءة لتنمية مهارته و الجلوس بين الاهل و الاستمتاع بينهم .و	B1
AR-130-194708	التطور الحضاري الذي تشهده دولة الامارات ...... بالحديث عن التطور في بداية السبيعنات لم تشهد دولة الامارات هذا التطور الملحوظ، ولكن مع العلم اصبحت دولتنا من الدول المتطورة والبارزة في شتى في المجالات	B1
AR-130-194718	دولة الامارات العربية المتحدة من افضل الدول التي تطورت بشكل سريع جدا. الكثير من الدول الاجنبية متطورة ولكنها بدأت بالتطور منذ قرون ودولة الامارات لم تكمل قرناً منذ مسيرة الإتحاد. الشيخ زايد طيب الله ثراه استطاع ان يوحد دولة الامارات وبدا مسيرة الإتحاد مع المغفور له الشيخ راشد آل مكتوم. بعد مسيرة الاتحاد بدات دولة الامارات العربية المتحدة في التطور بشكل سريع في العديد من المجالات منها السياسية والاقتصادية. الشيخ زايد طيب الله ثراه بنى العديد من المدارس والمستشفيات والمنازل لمواطنيي دولة الامارات. وهذا فخرٌ كبيرٌ لكل مواطن يعيش على ارض هذه الدولة العظيمة. بعد وفاه الشيخ زايد طيب الله. لم تتوقف دوله الامارات بالتطور ولكنها تطورت ووصلت للعالميه. الآن جميع الناس يعلمون ماهي مدينة دبي اذا سألنا المارة في دوله غربية عن مدينة دبي فإنهم سيعرفونها لانها من اعظم المدن. دبي اصبحت وجهه سياحية للكثير من الناس فإنها تستقبل ملايين السياح كل عام وهذا دليل كبير على تطورها. من الوجهات السياحية التي تكوون مكتضه بالسياح هي برج خليفة ، برج العرب، دبي مول، والعديد من الشواطئ التي يحبها السياح. بعض الانجازات التي حققتها دولة الامارات هي فوز دبي في برنامج اكسبو ٢٠٢٠، اطلاق قمرا صناعيا مصنوع بأيدي ايماراتيه، والكثير من الانجازات التي لا تعد ولا تحصى . دولة الامارات هي دولة متحضرة جدا وانا فخورة لكوني مواطنة من دولة الامارات واعيش على ارضها . ودولة الامارات لن تتوقف هنا بل سوف تستمر بالتطور وابهار العام بها.	B2
AR-130-195100	جميع الدول تسعى في التطور ومواكبة التطور لذلك نرى الان المجتمع اصبح منفتح كثيرا وخاصتا في هذا الزمن. والان بدآ استخدام وساىل التواصل الاجتماعي متعددة مثل السناب جات،انستغرام،يوتيوب،واتساب والكثير غيرها. جميعها اما بامكان الانسان استخدامتها بشكل ايجابي والاستفادة منها ام استخدامها بشكل سلبي والتضرر منها. وتآثيرها كبير جدا على المجتمع وايضا على الفرد. اضرار وسائل التواصل الجتماعي على الفرد والمجتمع هي اضاعت الوقت، الآمراض،الصحبة الغير صالحه،الانعزال، تغير في السلوكيات.تآثر التواصل الاجتماعي على الفرد بشكل سلبي فتجعله منعزل عن العالم الخارجي، تغير سلوكياته،الابتعاد عن العائله. ولاكن هناك ايجابيات ايضا سهولة التواصل مع الاخرين، تثقيف او ايصال فكرة جيدة عن طريقها.لكل شيٍ سلبياته وايجابياته ولاكن تعتمد على الشخص وتربيته واخلاقه اذا كنت تريد استخدام وسائل التواصل الاجتماعي بشكل ايجابي فسوف تستخدمه آما اذا كنت تريد استخدامه بشكل سلبي فسوف تستخدمه بشكل سلبي وذلك عائد لكل شخص.	B1
AR-130-19632	كيف نعزز ثقافه التسامح في المجتمع؟ لتسامح طرق عديده و منها قد اوصانا بها والدنا المغفور له بأذن الله الشيخ زايد بن سلطان ال نهيان. لاكن هناك من قد يعزز هذه الطبيعه الجميله و هناك من لايحسب لها وجود و يعتبرها تفاهه. فعند التسامح تتصافا القلوب و تتبارا الجروح و تتزينالحياه بنقاء قلوب اصحابها ، الا ليت لو قد يقدر كل مرء هذه النعمه و كل اخ و اخته و كل صاحب و صاحبه او حتى كل جار لجاره. مع التسامح تتكون اعمده السلام بين الدول.	B1
AR-130-197835	وسائل التواصل الاجتماعي هي مجموعه من البرامج و الشبكات العنكبوتيه التي تساعدك على الاتصال بالعالم ، و يتم استخدامها عبر الاجهزة الالكترونيه مثل الهاتف او الحاسوب و غيره ، وسائل التواصل الجتماعي بدات تغزو العالم و انتشرت بشكل كبير و بطبيعة العالم فلكل شي تأثيرات سلبية و ايجابية ، فوسائل التواصل الاجتماعي ادت الى تاثيرات كبيرة على الفرد بشكل خاص و على المجتمع بشكل عام. في عصرنا الحالي اصبحت وسائل التواصل في متناول الكل فلا يوجد عمر محدد لتستخدمها و ادت الى تاثير ايجابي و سلبي على الافراد ، ساعدت وسائل التواصل الاجتماعي الافراد على زيادة ثقافاتهم و تعرفهم على الشعوب الاخرى فوسائل التواصل الاجتماعي اتاحت الفرصة للافراد لمعرفة ما يجري حول العالم من منازلهم ، فساهمت سهولت استخدام مواقع التواصل الاجتماعي في التعرف على عادات الشعوب و التواصل معهم ، كما ان مواقع التواصل الاجتماعي ساهمت في زياده الترابط و تقوية العلاقات اذ انها تسهل عمليه التواصل بين الاصدقاء و الاهل في حين انك لا تمنعك ظروفك من الذهاب اليهم كالابتعاث مثلا، و لكن لابد من وجود أثر سلبي فطريقة استخدامك الخاطئة لمواقع الوسائل الاجتماعي قد تعرضك للجرايم الالكترونيه فلا بد من الحذر و عدم التحدث او نشر بياناتك مع الجميع ، ، لابد من مراقبة الاطفال لانه مواقع التواصل الاجتماعي قد تكون وسائل التواصل الاجتماعي باب معرفة خاطئ للصغار . و بشكل عام فمواقع التواصل الاجتماعي ساهمت في زياده الترابط بين الشعوب و المجتمع مما ينعكس ايجابيا على علاقاتهم ، كما انها تساعد المجتمعات على التقدم من خلال معرفة اخر اخبار العالم مما يولد شعور المنافسة و التحديات بينهم ، علاوة على ذلك وسائل التواصل الاجتماعي تساهم في تبادل الثقافات و نشر الوعي بين افراد المجتمع فمن السهل استخدامها للتبليغ عن بعض الاخطار المهم اذ ان سرعه انتشار الخبر في مواقع التواصل سريع جدا و تستطيع ايصال الرساله لاكثر من فئه عمريه مختلفه ، ولكن قد يكون لها تأثير سلبي احيانا فبعض المجتمعات لا تستشف الجيد من ثقافات غيرها بل يتم تقليد الثقافات و ااتباع ثقافة لا تتبع عاداتهم مما يؤثر سلبا على المجتمع و قد يتم فقد الهوية الوطنيه و فقد ثقافتها و عاداتها . لكل شي ينشر اثار سلبيه و ايجابية على الفرد و على المجتمع و لكن هذا التأثير يعتمد على طريق استخدامنا و فهمنا لهذا الشي فالتأثير لا يأتي الا باختيارك انت ، فلابد من نشر الوعي لتفادي الاثار السلبية التي قد تؤثر على الفرد و على المجتمع .	B2
AR-130-197898	هناك الكثير من الامور المهمه التي يجب أن يسلط الضوء عليها لضرورة تواجدها في مجتمعاتنا، ومن أهمها هو غرس ثقافة التسامح بين الناس كباراً وصغاراً. التسامح من شيم الانسان واهميته كبيره حيث تكمن المحبه والرحمه في هذه الثقافة، ولتعزيز هذه الثقافة يجب علينا نشرها بين ابنائنا واصدقاءنا بروح إيجابيه حتى يدركوا مدى اهميتها حيث انها تزيد من نسبة ترابط الافراد ونسبة المحبه والاحترام بين الآخرين ايضاً. حيث قامت بعض المراكز مؤخراً بنشر صفحات تؤعويه لضرورة تواجد هذه الثقافه لتقليل نسبة الجرائم الناتجه بسبب الكراهيه الموجوده بين أفراد المجتمع. وهناك الكثير من الطرق لتعزيز التسامح ومن أوائله هو وجود الإراده التي تكمن بداخل الشخص قبل تعزيزها بطرق اخرى.	B2
AR-130-198249	قبل ٥٠ سنة كانت دولة الامارات العربية المتحدة صحراء قاحلة تغطيها الكثبان الرملية ولم يضنون ان دولة الامارات العربية المتحدة سوف تتطور الجميع كان يضن ان دولة الامارات ستبقى كما هي ولكن طلع شخص من هذي الصحراء القاحله وحول دولة الامارات من صحراء الى خضراء وهل يا ترى تعلمون من هذا الشخص ؟ الشيخ زايد-رحمه الله-هو هذا الشخص الذي جعل دولة الامارات لؤلؤة الصحراء.شهدت الدول و الافراد التطور المفجآ لدولة الامارات وكيف تغيرت من صحراء الى خضراء،اصبحت دولة الامارات دوله حضارية متقدمة و تطورت تطور سريعا ولان اصبح عمر الدولة ٤٣ سنه و لا اظن ان هناك دولة تفوقت على دولة الامارات من خلال التقدم الحضاري السريع،وليس فقط من خلال التطور الحضاري،اصبح هناك تطور في الشعب فشعب دولة الامارات اسعد شعوب الارض وهذا من فضل الله عز وجل وفضل شيوخ دولة الامارات العربية المتحدة-حفظهم الله لن ينسى شعب الامارات المغفور له الشيخ زايد الذي كرسه حياته في تطور هذه البلاد وتحدا العالم و العشوب الاخرى في جعل دولة الامارات لؤلؤة الصحراء	B2
AR-130-19883	يوجد في كل شي سلبيات وايجابيات بالطبع لكنه يعتمد على كيفية استخدام الجهاز والوسائل ، ومثال على هذا هو وسائل التواصل الاجتماعي تتعدد طرق تأثير الوسائل على الفرد والجمتع بطرق كثيره من ايجابيات هذه الوسائل انها توفر علينا الكثير من الوقت وسهلت علينا طريقة العيش مثل التواصل مع الاقراب اصبح اكثر بكثير عن قبل وكما ان توفرت العديد من التطبيقات التي تجعل الامور على الفرد سهله مثل تطبيقات الشراء تستطيع قضاء حاجياتك المهمة وانت في منزلك بدلا منالخروج وتضييع الوقت ايضا وفرت لنا هذه الوسائل سهوله في استخراج المعلومات والتأكد من صحتها لكن فالجانب الاخر يوجد العديد من السلبيات لهذه التقنيه الحديثه،تستطيع ان تضيع وقتك بشكل سريع من غير ان تدرك وايضا صلة الرحم اصبحت قليله وغير مهمه حيث اننا نسأل عن بعض من طريقها من غير الذهاب الى الشخص والتحدث معهمن السلبيات ايضا بأن هناك اطفال يضعون بياناتهم الشخصيه في مواقع التواصل من غير حذر الاهل عليهم	B1
